METHOD	TECHNOLOGY	ALN_PARAMS	ALN_TYPE	SPANNING	COVERAGE	TP	FN	FP	TN	Recall	Precision	F1
k-mer clust	ONT	1_-1_-1_-1	local	spanning	60	22941	2439	395	0	0.9039007092198581	0.9830733630442235	0.9418260940963954
k-mer clust	ONT	1_-1_-1_-1	semiglobal	partial	20	20325	5055	1563	0	0.8008274231678487	0.9285910087719298	0.85998984513836
k-mer clust	ONT	1_-1_-1_-1	semiglobal	partial	30	21004	4376	1689	0	0.8275807722616233	0.9255717622174239	0.8738377051567406
k-mer clust	ONT	1_-1_-1_-1	semiglobal	partial	60	21241	4139	1552	0	0.8369188337273443	0.9319089194050805	0.8818632844124301
k-mer clust	PacBio HiFi	1_-1_-1_-1	global	spanning	20	23561	1819	3	0	0.9283293932230102	0.9998726871498896	0.9627737822817913
k-mer clust	PacBio HiFi	1_-1_-1_-1	global	spanning	30	23864	1516	6	0	0.9402679275019701	0.9997486384583159	0.9690964467005075
k-mer clust	PacBio HiFi	1_-1_-1_-1	global	spanning	60	23943	1437	19	0	0.9433806146572103	0.9992070778732994	0.97049167038223
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	partial	20	19368	6012	557	0	0.7631205673758865	0.9720451693851945	0.8550049663392562
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	partial	30	19898	5482	803	0	0.7840031520882584	0.9612096034008019	0.8636097306916083
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	partial	60	20831	4549	1029	0	0.8207643814026793	0.9529277218664227	0.881922099915326
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	spanning	20	23559	1821	4	0	0.9282505910165485	0.9998302423290752	0.9627117258852135
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	spanning	30	23860	1520	4	0	0.9401103230890465	0.999832383506537	0.9690520672569247
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	spanning	60	23938	1442	12	0	0.9431836091410559	0.9994989561586639	0.9705250354753698
k-mer clust	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	19318	6062	694	0	0.761150512214342	0.9653208075154907	0.8511632005639761
k-mer clust	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	19873	5507	990	0	0.7830181245074862	0.9525475722571058	0.8595030599225829
k-mer clust	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	20718	4662	1498	0	0.8163120567375887	0.9325711199135758	0.8705773594419698
