METHOD	TECHNOLOGY	COVERAGE	VARSIZE	AvgER	seER
Multi POA	PacBio HiFi	30	50	0.06087305272935224	0.007365102070102868
Multi POA	PacBio HiFi	30	200	0.05294740950987392	0.001201867792491762
Multi POA	PacBio HiFi	30	500	0.053405425308479464	0.0012771264762189867
Multi POA	PacBio HiFi	30	1000	0.11616688409812174	0.01914998636942853
Multi POA	PacBio HiFi	60	50	0.058032206158029884	0.002526389381954406
Multi POA	PacBio HiFi	60	200	0.05121543664584487	0.0011983828888146493
Multi POA	PacBio HiFi	60	500	0.054101703545971	0.0014903792429510148
Multi POA	PacBio HiFi	60	1000	0.17219530513484044	0.028000846463307513
RapidFuzz	ONT	20	50	0.07286194416388554	0.003253438840284497
RapidFuzz	ONT	20	200	0.07022665867305233	0.0059903652767084046
RapidFuzz	ONT	20	500	0.05446394285005506	0.002074557013720626
RapidFuzz	ONT	20	1000	0.10569186016113614	0.01394666842867904
RapidFuzz	ONT	30	50	0.07255925510387418	0.006125556689674596
RapidFuzz	ONT	30	200	0.050990525065399514	0.0038508062741460384
RapidFuzz	ONT	30	500	0.04145608358782311	0.0024158279074256985
RapidFuzz	ONT	30	1000	0.0812275483342653	0.011656898359893336
RapidFuzz	ONT	60	50	0.06705094634333542	0.0030409465874813206
RapidFuzz	ONT	60	200	0.057793606731550595	0.004492610234625299
RapidFuzz	ONT	60	500	0.04960158565892204	0.007923746815414969
RapidFuzz	ONT	60	1000	0.1539019315054808	0.02386964296431753
RapidFuzz	PacBio HiFi	20	50	0.05850697570087118	0.0013833009471279885
RapidFuzz	PacBio HiFi	20	200	0.057067413388295504	0.0012443468654166354
RapidFuzz	PacBio HiFi	20	500	0.0632869231567705	0.0044766857499248846
RapidFuzz	PacBio HiFi	20	1000	0.07930236763241658	0.010543702635419658
RapidFuzz	PacBio HiFi	30	50	0.0557142162581043	0.0012804977133102533
RapidFuzz	PacBio HiFi	30	200	0.05480142551260574	0.0012286311935653007
RapidFuzz	PacBio HiFi	30	500	0.05791480922875191	0.0034041329734408165
RapidFuzz	PacBio HiFi	30	1000	0.06468330220374764	0.006752788309963709
RapidFuzz	PacBio HiFi	60	50	0.0618610868473807	0.005504441108109315
RapidFuzz	PacBio HiFi	60	200	0.05654709269583865	0.003201497570354404
RapidFuzz	PacBio HiFi	60	500	0.05771497824129345	0.0023028149491298683
RapidFuzz	PacBio HiFi	60	1000	0.1553101559889997	0.023585716995393066
True phase	ONT	20	50	0.06600104818632532	0.004806323083237956
True phase	ONT	20	200	0.0552243591179633	0.0017449891437191698
True phase	ONT	20	500	0.06355422388378333	0.003561653527985023
True phase	ONT	20	1000	0.1334317018531543	0.018583810255547967
True phase	ONT	30	50	0.042238471320104894	0.0017313639672152867
True phase	ONT	30	200	0.03875937869637443	0.0010174410210587908
True phase	ONT	30	500	0.047526884052407195	0.004138857256310528
True phase	ONT	30	1000	0.15745056369143778	0.02460625014232329
True phase	ONT	60	50	0.04779068518928334	0.0022953271800702966
True phase	ONT	60	200	0.042557629588495245	0.001004729437347424
True phase	ONT	60	500	0.07620486865760695	0.01211300838692885
True phase	ONT	60	1000	0.31796221015901804	0.03866031003826643
True phase	PacBio HiFi	20	50	0.05957321493414022	0.0013274605308698714
True phase	PacBio HiFi	20	200	0.05858551722892579	0.0012723614608043485
True phase	PacBio HiFi	20	500	0.05955619742659436	0.0019311677007909983
True phase	PacBio HiFi	20	1000	0.11162731988602975	0.017411554945749683
True phase	PacBio HiFi	30	50	0.056523437973667934	0.0018958116193754006
True phase	PacBio HiFi	30	200	0.054988699202646416	0.0012312125024243929
True phase	PacBio HiFi	30	500	0.0596260617868853	0.004358624280490261
True phase	PacBio HiFi	30	1000	0.12060834390429961	0.019093484667414125
True phase	PacBio HiFi	60	50	0.05394709570863505	0.0012443229869383596
True phase	PacBio HiFi	60	200	0.05371901523171078	0.0016395104398681385
True phase	PacBio HiFi	60	500	0.07145480423533046	0.007218109509749295
True phase	PacBio HiFi	60	1000	0.2095520998391858	0.03186298768972108
abPOA	ONT	20	50	0.12595099316489836	0.005033105889773909
